model,member,coa_per_century,standalone_coa_per_century,nonstandalone_coa_per_century,alpha,en12_std,en34_std,en12_pr_std
CNRM-CM6-1-HR,r1i1p1f2,0.61,0.61,0.0,0.03760642967614129,0.6014029383659363,0.4852595031261444,0.9292390666830284
CNRM-ESM2-1,r1i1p1f2,1.21,1.21,0.0,-0.056601434866370225,0.7235470414161682,0.9729557633399963,1.4167343139079591
CNRM-ESM2-1,r2i1p1f2,1.21,1.21,0.0,-0.12958440008298303,0.7010034322738647,0.9715292453765869,1.4359541094383765
CNRM-ESM2-1,r3i1p1f2,1.82,1.82,0.0,-0.0792387478679463,0.7112326622009277,0.9334442019462585,1.4020903473454538
CanESM5,r1i1p1f1,0.0,0.0,0.0,0.033380454265443844,0.5724796652793884,0.6412652730941772,1.2367710515595662
CanESM5,r1i1p2f1,1.21,1.21,0.0,0.018192266744504026,0.5583916902542114,0.6082296371459961,1.2745435893654744
CanESM5,r2i1p1f1,1.21,1.21,0.0,-0.018309112810303885,0.5725533366203308,0.6106711030006409,1.264302304669592
CanESM5-1,r1i1p1f1,1.21,1.21,0.0,0.13768464220928084,0.5500285625457764,0.6141061186790466,1.2647397738455322
CanESM5-1,r1i1p2f1,0.61,0.0,0.61,0.03358370200058763,0.6077008247375488,0.7343422770500183,1.2848987923362933
CanESM5-1,r2i1p1f1,1.82,1.82,0.0,0.055640402756232825,0.5712555050849915,0.6533886194229126,1.3215243438862088
CanESM5-CanOE,r1i1p2f1,1.21,1.21,0.0,0.01819226672071606,0.5583916902542114,0.6082296371459961,1.2745435893654744
CanESM5-CanOE,r2i1p2f1,2.42,1.82,0.61,0.003404675489719661,0.5549679398536682,0.5948874950408936,1.266185728018978
CanESM5-CanOE,r3i1p2f1,1.82,1.82,0.0,0.06433523272448306,0.5115010738372803,0.5427027344703674,1.2151279566029471
E3SM-1-0,r1i1p1f1,0.61,0.0,0.61,-0.1377600743055727,0.828782320022583,0.8860120177268982,1.4098845799602002
E3SM-1-0,r2i1p1f1,1.21,1.21,0.0,-0.08113784594863947,0.827296793460846,0.8262162804603577,1.3585465514945372
E3SM-1-1,r1i1p1f1,1.21,0.61,0.61,-0.004926404748017009,0.8194504380226135,0.791537880897522,1.3913821515700275
E3SM-1-1-ECA,r1i1p1f1,1.21,0.0,1.21,-0.060968391686316376,0.8912500739097595,0.8801765441894531,1.4726097287141011
E3SM-2-0,r1i1p1f1,3.03,0.61,2.42,-0.16493639454583098,0.6918275952339172,0.8419287204742432,0.8707334714419702
E3SM-2-0,r3i1p1f1,2.42,0.61,1.82,-0.0935342509937095,0.7339375019073486,0.8353086709976196,0.9953110329473231
E3SM-2-0,r2i1p1f1,4.24,3.03,1.21,-0.10648507663571805,0.7218764424324036,0.8397683501243591,0.9345069636001199
E3SM-2-0-NARRM,r1i1p1f1,1.82,1.21,0.61,-0.089520552029794,0.7778392434120178,0.8908848166465759,0.9982375824919577
E3SM-2-0-NARRM,r3i1p1f1,1.82,0.61,1.21,-0.17093411845396844,0.8508349061012268,1.026551604270935,1.0068581190627028
E3SM-2-0-NARRM,r4i1p1f1,2.42,1.21,1.21,-0.11789568342660567,0.7430338859558105,0.9279285669326782,0.9300499425544975
E3SM-2-1,r1i1p1f1,2.42,1.82,0.61,-0.1111386383172491,0.7198795676231384,0.8916409611701965,0.908104634763608
E3SM-2-1,r3i1p1f1,1.82,1.82,0.0,-0.10953070210870341,0.7398837208747864,0.8834543228149414,0.9795464456152043
E3SM-2-1,r2i1p1f1,1.82,0.61,1.21,-0.06781464104001485,0.7798666954040527,0.9447969794273376,0.999309138930236
EC-Earth3,r1i1p1f1,1.82,1.82,0.0,-0.035775970532584855,0.7119894623756409,0.6323322653770447,0.9618518221947248
EC-Earth3,r3i1p1f1,1.21,1.21,0.0,-0.08383691935436965,0.7152382731437683,0.6663948893547058,0.9285672925861752
EC-Earth3,r2i1p1f1,3.03,3.03,0.0,-0.07643631110645359,0.736314058303833,0.7065893411636353,0.9986907492946859
EC-Earth3-AerChem,r1i1p4f1,0.61,0.61,0.0,-0.34165660164964007,0.9137314558029175,0.8301317095756531,1.1934623424353725
EC-Earth3-AerChem,r1i1p1f1,2.42,2.42,0.0,-0.0906381108639858,0.8012979626655579,0.7016472220420837,1.1022403216385357
EC-Earth3-AerChem,r3i1p1f1,1.82,1.21,0.61,-0.14503876575976696,0.8318815231323242,0.7455452084541321,1.1479688798120615
EC-Earth3-ESM-1,r5i1p1f1,1.21,1.21,0.0,-0.23100232927076592,0.7781892418861389,0.7471833825111389,1.040862504572907
